sex,kanji,hiragana,pageid,birth_year,blood_type,height,weight,occupation,education,birth_place,birth_date,nationality
female,松川 るい,まつかわ るい,3453571,1971,,,,,,,,
female,高瀬 弘美,たかせ ひろみ,3455545,1981,,,,,,,,
female,水鳥 真美,みずとり まみ,3738182,1960,,,,国連事務総長特別代表,一橋大学法学部スペイン外交官学校,{{JPN}}・東京都,{{生年月日と年齢|1960|11|15}},
female,山根 星子,やまね ほしこ,3794447,1981,,,,{{Hlist-comma|音楽家|ヴァイオリニスト|擦弦楽器奏者|作曲家}},{{plainlist| * {{Flagicon|JPN}} 愛知県立芸術大学・大学院 * {{DEU}}・ロストック音楽大学 }},{{JPN}}・大阪府東大阪市,{{生年月日と年齢|1981|4|4}}{{Cite web|和書|url=https://twitter.com/hoshikoyamane/status/1510940348591321092 |title=誕生日って風船飛ぶんだ。。Twitterさんありがとう笑 |publisher=オフィシャルtwitter |date=2022-04-04 |accessdate=2022-04-07 }},
female,岡井 朝子,おかい あさこ,3799925,1966,,,,国連事務次長補、国連開発計画総裁補兼危機局長,一橋大学法学部ケンブリッジ大学エマニュエル・カレッジ,{{JPN}}東京都,{{birth year and age|1966}},
female,福嶌 香代子,ふくしま かよこ,3823124,,,,,,,,,
female,村山 勝美,むらやま かつみ,3846563,,,,,ヴィオラ奏者、モデル,東京芸術大学音楽学部,{{JPN}},,
female,金子 文子,かねこ ふみこ,51837,1903,,,,,,,,
female,石牟礼 道子,いしむれ みちこ,143524,1927,,,,小説家・詩人,水俣実務学校（現 熊本県立水俣高等学校）卒業,{{JPN}}・熊本県天草郡河浦町（現・天草市）,{{生年月日と年齢|1927|3|11|no}},{{JPN}}
female,市川 房枝,いちかわ ふさえ,309395,1893,,,,,,,,
female,奥 むめお,おく むめお,313950,1895,,,,,,,,
female,加藤 シヅエ,かとう シヅエ,326863,1897,,,,,,,,
female,岡崎 友紀,おかざき ゆき,536446,1953,,,,,,,,
female,伊藤 千代子,いとう ちよこ,578767,1905,,,,,,,,
female,嘉田 由紀子,かだ ゆきこ,601480,1950,,,,,,,,
female,井深 八重,いぶか やえ,603770,1897,,,,看護婦,同志社女学校専門学部,{{TAW1895}} 台北市,1897年10月23日,
female,川奈 まり子,かわな まりこ,791276,1967,,,,作家コラムニスト人権活動家元AV女優,,{{JPN}} 東京都世田谷区,{{生年月日と年齢|1967|11|9}},
female,加藤 タキ,かとう たき,877257,1945,,,,タキ・オフィス代表,森村学園高等部日本大学芸術学部造形科（中退）米国オレゴン州・マルトノマJr・カレッジ,{{JPN}}・東京都大田区北千束,{{生年月日と年齢|1945|3|30}},
female,北原 みのり,きたはら みのり,1146686,1970,,,,著作家、社会活動家、実業家,津田塾大学卒業日本女子大学大学院中退,{{JPN}}・神奈川県横浜市,{{生年月日と年齢|1970|11|24}},
female,神近 市子,かみちか いちこ,1191247,1888,,,,,,,,
female,石垣 綾子,いしがき あやこ,1206007,1903,,,,,,,,
female,管野 スガ,かんの スガ,1342266,1881,,,,ジャーナリスト・革命家,,,,
female,小口 みち子,おぐち みちこ,1956109,1883,,,,美容家、歌人、婦人運動家、小説家,,{{JPN}} 兵庫県加東郡社村,1883年2月8日,{{JPN}}
female,鎌田 安里紗,かまだ ありさ,2034147,1992,,,,,,,,
female,瓜生 岩子,うりゅう いわこ,2244658,1829,,,,社会事業家,,{{JPN}}：陸奥国耶麻郡熱塩村（現：福島県喜多方市）,1829年3月19日,
female,隅谷 茂子,すみたに しげこ,5050321,1917,,,,,,,,
female,西川 真規子,にしかわ まきこ,4852065,1966,,,,,,,,
female,池田 香峯子,いけだ かねこ,4849811,1932,,,,教育者ビジャ・マリア大学名誉教授,サンタマリア大学名誉法学博士号取得,{{JPN}},{{生年月日と年齢|1932|02|27}},
female,清水 晶子,しみず あきこ,4791477,1970,,,,,東京大学大学院人文科学研究科ウェールズ大学カーディフ校,{{JPN}} 東京都,{{生年と年齢|1970}},
female,吉田 綾,よしだ あや,4756384,,,,,,,,,
female,金子 おなじ,かねこ おなじ,4738840,1872,,,,,,,,
female,淀川 詔子,よどがわ のりこ,4673003,,,,,,,,,
female,村越 貴代美,むらこし きよみ,4584238,1962,,,,,,,,
female,石井 雪枝,いしい ゆきえ,4571711,1909,,,,,,,,
female,赤石 千衣子,あかいし ちえこ,4535670,1955,,,,社会福祉運動家、社会福祉士、キャリア・コンサルタント、著作家,東京大学,{{JPN}} 東京都,1955年,
female,山浦 瑛子,やまうら えいこ,4517628,1940,,,,,,,,
female,長谷山 美紀,はせやま みき,4490741,,,,,,北海道大学,{{JPN}}・北海道,1963年7月18日 (62歳),
female,要 友紀子,かなめ ゆきこ,4440623,1976,,,,,,,,
female,赤松 明子,あかまつ あきこ,4379034,1902,,,,,,,,
female,林 香里,はやし かおり,4351492,1963,,,,,,,,
female,粟津 キヨ,あわづ きよ,4221216,1919,,,,,東京女子大学,{{JPN}} 新潟県東頸城郡牧村原,{{生年月日と年齢|1919|||死亡}},
female,石山 アンジュ,いしやま あんじゅ,4090594,1989,,,,一般社団法人シェアリングエコノミー協会 代表理事,国際基督教大学,{{JPN}}・神奈川県横浜市,{{生年月日と年齢|1989|4|20}},
female,北山 郁子,きたやま いくこ,4080270,1926,,,,医師,東京女子医学専門学校,{{Flagicon|JPN}} 富山県富山市土居原町,{{生年月日と年齢|1926|7|25|なし}},
female,赤星 裕美,あかぼし ひろみ,4033445,1979,,,,社会活動家,,愛知県,{{生年月日と年齢|1979|9|6}},
female,岡上 菊栄,おかのうえ きくえ,4001896,1867,,150cm{{R|高知新聞19950717m_p18}},40kg{{R|高知新聞19950717m_p18}},教員 → 高知博愛園園母,高知英和女学校（中退）{{R|おばあちゃんはここぞね_p176}},土佐郡上街本町{{R|岡上菊栄19981225_p20}},"1867年10月2日（慶応3年9月5日）{{R|岡上菊栄19981225_p134}}{{Efn2|name=""岡上菊栄19981225_p20""|生年は1865年（慶応元年）頃との説もある{{R|岡上菊栄19981225_p20}}。}}",{{JPN}}
female,木村 英子,きむら えいこ,3977729,1965,,,,,,,,
female,岡見 京,おかみ けい,3892987,1859,,,,,,,,
female,伊藤 詩織,いとう しおり,3723797,1989,,,,"ジャーナリスト{{sfn|伊藤詩織|2017|pp=249,奥付}}、映像作家",,,{{Birth date and age|1989|5|17}},
female,大浜 英子,おおはま ひでこ,3480128,1901,,,,,,,,
female,大友 よふ,おおとも よふ,3391042,1904,,,,平和運動家,宮城県第二女子高等学校,宮城県岩沼市,1904年8月31日,{{JPN}}
female,賀川 ハル,かがわ はる,3036991,1888,,,,,,,,
female,石田 美紀,いしだ みのり,2984023,1972,,,,映画批評家、映画学者,,{{JPN}}・京都府{{Cite book|和書 |editor=四方田犬彦 |title=李香蘭と東アジア |page=291 |year=2001 |publisher=東京大学出版会}},{{生年月日と年齢|1972}},
female,池田 千鶴子,いけだ ちづこ,2570689,,,,,,,,,
female,前田 直子,まえだ なおこ,5040542,,,,,,,,,
female,上野 絢子,うえの じゅんこ,4941745,,,,,,,,,
female,石神 留美子,いしがみ るみこ,4913913,1962,,,,,,,,
female,貴島 善子,きじま よしこ,4911071,1967,,,,,,,,
female,岡野 結城子,おかの ゆきこ,4910296,,,,,,,,,
female,四方 明子,しかた あきこ,4909523,1963,,,,,,,,
female,村田 夏帆,むらた なつほ,4826107,2007,,,,,東京音楽大学付属高等学校,{{JPN}}・茨城県水戸市 {{Sfn|小倉|2020}},{{生年月日と年齢|2007|05|24}},
female,上田 奈生子,うえだ なおこ,4810068,,,,,,,,,
female,山路 みほ,やまじ みほ,4797992,1972,,,,,,,,
female,前澤 綾子,まえざわ あやこ,4796733,1976,,,,,,,,
female,志賀 佐保子,しが さほこ,4730620,1973,,,,,,,,
female,脇田 初枝,わきた はつえ,4685622,1943,,,,,,,,
female,高田 真里,たかだ まり,4640094,,,,,,,,,
female,林 美都子,はやし みつこ,4598360,1968,,,,,,,,
female,小林 麻紀,こばやし まき,4579072,1966,,,,,,,,
female,石橋 晶,いしばし あき,4555870,,,,,,,,,
female,小口 光,おぐち ひかる,4509996,1972,,,,,,,,
female,永山 玲奈,ながやま れな,4496544,,,,,,,,,
female,柴田 寛子,しばた ひろこ,4491377,,,,,,,,,
female,小野 日子,おの ひかりこ,4321560,1965,,,,,,,,
female,山下 あすか,やました あすか,4121468,1995,,,,ミュージシャンパーカッショニスト,,{{JPN}}・愛知県名古屋市,{{生年月日と年齢|1995|3|22}},
female,島根 玲子,しまね れいこ,4073169,1984,,,,,,,,
female,山本 尚子,やまもと なおこ,4013997,1960,,,,感染症学公衆衛生学国際保健学,札幌医科大学岡山大学ジョンズ・ホプキンズ大学,{{Flagicon|JPN}} 岡山県岡山市,{{生年月日と年齢|1960|10|14}},
female,豊田 麻子,とよだ あさこ,3987172,1966,,,,,,,,
female,伊藤 光子,いとう みつこ,3876964,,,,,,,,,
female,青井 海優,あおい みゆう,4795997,1998,,,,,,,,
female,愛瀬 りお,あいせ りお,4653879,2007,,,,,,,,
female,藍川 はるか,あいかわ はるか,4570741,,,154cm,45kg,,,大阪府大阪市天神橋筋6丁目,非公開,
female,葵 涼花,あおい りょうか,4459959,1995,,,,,,,,
female,相羽 星良,あいば せいら,4346247,2006,,,,,,,,
female,相川 暖花,あいかわ ほのか,4305715,2003,,,,,,,,
female,青海 ひな乃,あおうみ ひなの,4232428,2000,,,,,,,,
female,青科 まき,あおしな まき,4140101,1997,,,,,,,,
female,愛敬 淳希,あいけい あつき,4137628,2004,,,,,,,,
female,愛迫 みゆ,あいさこ みゆ,4036998,1991,,,,,,,,
female,藍田 真潮,あいだ ましお,4017438,1976,,,,,,,,
female,相川 くるみ,あいかわ くるみ,3989431,2003,,,,,,,,
female,藍染 カレン,あいぞめ かれん,3941209,1997,,,,,,,,
female,相川 なつ,あいかわ なつ,3780086,,,,,歌手、作詞家、声優、女優,,{{JPN}}・東京都,1989年8月31日,
female,相澤 瑠香,あいざわ るか,3725225,1999,,,,,,,,
female,藍田 麻利衣,あいだ まりえ,3668056,1992,,,,,,,,
female,九津見 房子,くつみ ふさこ,38475,1890,,,,社会運動家,岡山県立岡山高等女学校（中退）,岡山県岡山市弓之町（現・北区内）,1890年10月18日,{{JPN}}
female,沢田 美喜,さわだ みき,137714,1901,,,,社会事業家,東京女子高等師範学校附属高等女学校中退,{{JPN}}・東京府東京市本郷区（現・東京都文京区）,1901年9月19日,{{JPN}}
female,住井 すゑ,すみい すえ,221418,1902,,,,小説家,,{{JPN}} 奈良県磯城郡平野村（現：田原本町満田）,{{生年月日|1902|01|07}},
female,九条 武子,くじょう たけこ,287390,1887,,,,,,,,
female,中沢 けい,なかざわ けい,302091,1959,,,,,,,,
female,坂本 真琴,さかもと まこと,313926,1889,,,,婦人運動家、評論家,共立女学校,静岡県田方郡三島町（現・三島市）,1889年5月7日,{{JPN}}
female,下田 歌子,しもだ うたこ,336775,1854,,,,教育者,,{{JPN}} 美濃国恵那郡岩村（現在の岐阜県恵那市）,1854年9月29日,
female,中島 湘煙,なかじま しょうえん,393865,1864,,,,,,京都,{{生年月日と年齢|1864|01|13|死去}},{{JPN}}
female,東條 満喜枝,とうじょう まきえ,417988,1923,,,,,,,,
female,佐藤 初女,さとう はつめ,512970,1921,,,,福祉活動家・教育者。,,,{{生年月日と年齢|1921|10|3|no}},{{JPN}}
female,中野 栄美子,なかの えみこ,822875,1967,,157 cm,,タレント,龍谷大学大学院政策学研究科,{{JPN}}・滋賀県,{{生年月日と年齢|1967|6|2}},
female,田中 里子,たなか さとこ,1012210,1925,,,,市民運動家,実践女子専門学校,東京都京橋,{{生年月日と年齢|1925|10|7|no}},{{JPN}}
female,楠瀬 喜多,くすのせ きた,1128570,1836,,,,,,,,
female,久布白 落実,くぶしろ おちみ,1522059,1882,,,,,,,,
female,東海林路 得子,しょうじ るつこ,1551132,1933,,,,,,,,
female,白井 久井,しらい ひさい,1935515,1849,,,,,,,,
female,斎藤 百合,さいとう ゆり,2316371,1891,,,,社会運動家,東京女子大学,愛知県八名郡石巻村（現・豊橋市）,1891年3月31日,
female,丹野 セツ,たんの せつ,2369274,1902,,,,,,,,
female,浅田 好未,あさだ よしみ,175084,1979,O型,156cm,,,,{{JPN}}・神奈川県鎌倉市,{{生年月日と年齢|1979|8|26}},
female,神田 紫,かんだ むらさき,227720,1951,,,,,,,,
female,あき 竹城,あき たけじょう,384818,1947,,,,,,,,
female,紅 萬子,くれない まんこ,573080,1953,,,,,,,,
female,浅野 麻衣,あさの まい,671195,1985,,,,,,,,
female,旭堂 鱗林,きょくどう りんりん,733732,1973,,,,,,,,
female,荒木 巴,あらき ともえ,854752,,O型,164cm,,,,新潟県長岡市,,
female,神田 蘭,かんだ らん,1047362,1975,,,,,,,,
female,神田 山吹,かんだ やまぶき,1063008,,,,,,,,,
female,神田 京子,かんだ きょうこ,1086523,1977,,,,,,,,
female,旭堂 南華,きょくどう なんか,1178999,1963,,,,,,,,
female,宝井 琴桜,たからい きんおう,1348249,,,,,,,,,
female,神田 紅,かんだ くれない,1438460,1952,,,,,,,,
female,水谷 ミミ,みずたに みみ,1491982,1949,,,,,,,,
female,姉御 ぉゆりか,あねごぉ ゆりか,1541584,,O型,,,,,{{JPN}}・東京都,非公開,
female,磯野 貴理子,いその きりこ,75809,1964,,,,,,,,
female,泉 ピン子,いずみ ピンこ,76978,1947,,,,,,,,
female,小原 正子,おはら まさこ,188412,1975,B型,162cm,,,,兵庫県神戸市東灘区,{{生年月日と年齢|1975|10|23}},
female,伊藤 雅子,いとう まさこ,636640,1978,,,,,,,,
female,板垣 まみ,いたがき まみ,671201,1985,,,,,,,,
female,いがわゆり 蚊,いがわ ゆりか,837466,,A型,155 cm,,,,{{JPN}}・大阪府豊中市,{{生年月日と年齢|1982|09|05}},
female,石野 桜子,いしの さくらこ,1154483,1971,,,,,,奈良県御所市,{{生年月日と年齢|1971|7|27}},
female,岩間 よいこ,いわま よいこ,1355584,1985,,,,,,愛知県名古屋市,{{生年月日と年齢|1985|4|10}},
female,加古川 クエ,かこがわ くえ,1839432,1975,B型,158cm,,,,広島県広島市,1975年9月22日,
female,大村 小町,おおむら こまち,1840598,1978,B型,164cm,,,,{{JPN}}・秋田県能代市,{{生年月日と年齢|1978|10|18}},
female,研 ナオコ,けん ナオコ,77881,1953,,,,{{Hlist-comma|歌手|タレント|女優}},静岡県立三島南高等学校中退,{{JPN}}・静岡県田方郡天城湯ケ島町（現・伊豆市）,{{生年月日と年齢|1953|7|7}},
female,北野 幹子,きたの みきこ,121884,1951,,,,,,{{JPN}} 大阪府,{{Birth year and age|1951}},
female,清川 虹子,きよかわ にじこ,562014,1912,,,,,,,,
female,京 唄子,きょう うたこ,586671,1927,,,,,,,,
female,小出 真保,こいで まほ,669712,,B型,152cm,,,,{{JPN}}・長野県上田市,2月24日,
female,高坂 友衣,こうさか ゆい,669742,1985,,168cm,,,,青森県青森市,{{生年月日と年齢|1985|8|28}},{{JPN}}
female,川村 エミコ,かわむら エミコ,1006068,1979,B型,163cm,,,,神奈川県三浦市,{{生年月日と年齢|1979|12|17}},
female,髙部 眞規子,たかべ まきこ,1024421,1956,,,,,,,,
female,齋賀 富美子,さいが ふみこ,1252090,1943,,,,,,,,
female,田中 由子,たなか よしこ,1471978,1944,,,,,,,,
female,岡部 喜代子,おかべ きよこ,2038371,1949,,,,,,,,
female,窪田 あつこ,くぼた あつこ,2476958,1972,,,,,,,,
female,楠 美津香,くすのき みつか,2493295,1962,,,,,,,,
female,染井 明希子,そめい あきこ,2569829,1989,,,,,,,,
female,筏津 順子,いかだつ じゅんこ,2753442,1950,,,,,名古屋大学大学院法学研究科,{{JPN}}愛知県豊田市,{{生年月日と年齢|1950|6|9}},
female,一宮 なほみ,いちみや なほみ,2797925,1948,,,,,,,,
female,髙橋 彩,たかはし あや,4887466,1973,,,,,,,,
female,くわがた 心,くわがた こころ,4782064,2001,A型,164cm,,,,{{JPN}}・大阪府,{{生年月日と年齢|2001|5|22}},
female,眞鍋 美穂子,まなべ みほこ,4759175,1968,,,,,,,,
female,日暮 直子,ひぐらし なおこ,4611140,1971,,,,,,,,
female,櫛橋 明香,くしはし さやか,4595241,1974,,,,,,,,
female,白石 史子,しらいし あやこ,4583658,1958,,,,,,,,
female,伊東 すみ子,いとう すみこ,4571725,1931,,,,,,,,
female,本多 久美子,ほんだ くみこ,4502738,1961,,,,,,,,
female,徳岡 由美子,とくおか ゆみこ,4502732,1962,,,,,,,,
female,栗林 美智瑠,くりばやし みちる,4400870,1978,O型,,,,,{{Flagicon|静岡県}} 静岡県,{{birth date|1978|07|01}}{{Cite web ja|url=https://www.m-1gp.com/combi/18587.html|title=真ん中｜コンビ情報|website=M-1グランプリ公式サイト|access-date=2022-08-31}},{{JPN}}
female,加納 愛子,かのう あいこ,4024939,1989,B型,155cm,,,,{{JPN}} 大阪府大阪市住吉区,{{生年月日と年齢|1989|2|21}},
female,丹宗 朝子,たんそう ともこ,4019746,1932,,,,,,,,
female,木村 美穂,きむら みほ,3904864,1973,A型,,,,,{{JPN}}・神奈川県相模原市,{{生年月日と年齢|1973|11|15}},
female,秋吉 仁美,あきよし ひとみ,3876985,1958,,,,,,,,
female,安藤 裕子,あんどう ひろこ,3873485,1950,,,,,,,,
female,河邑 ミク,かわむら ミク,3753051,1994,A型,168cm,,,,{{JPN}}・大阪府,{{生年月日と年齢|1994|8|8}},
female,近藤 宏子,こんどう ひろこ,3737022,1960,,,,,慶應義塾大学法学部,東京都,{{生年月日と年齢|1960|1|29}}{{Cite book|和書|title=全裁判官経歴総覧 第三版［第一分冊］ 期別異動一覧編|publisher=公人社|date=1998-04-01|editor=日本民主法律家協会司法制度委員会|edition=第3版第1刷発行|isbn=978-4906430581|page=222}} - （1987年12月10日・第1版第1刷発行 / 1990年12月10日・第2版第1刷発行）,{{JPN}}
female,寺沢 光子,てらさわ みつこ,2953269,1926,,,,,,,,
female,石渡 満子,いしわた みつこ,2931970,1905,,,,,,,,
female,片岡 あや子,かたおか あやこ,4800795,1943,,,,,,,,
female,池脇 澪,いけわき みお,4413010,1996,,,,,,{{JPN}}・東京都,{{生年月日と年齢|1996|1|9}},
female,大屋 あゆみ,おおや あゆみ,4138232,1984,,,,,,,,
female,岡田 直子,おかだ なおこ,4001324,1984,B型,143 cm,,,,{{JPN}} 岡山県総社市,{{生年月日と年齢|1984|4|30}},
female,大松 絵美,おおまつ えみ,3580784,1993,,158cm,,YouTuber、女優、元お笑いタレント,立命館大学,{{JPN}} 兵庫県豊岡市,{{生年月日と年齢|1993|10|4}},
female,柏崎 桃子,かしわざき ももこ,3490926,1979,A型,165cm,,,,,{{生年月日と年齢|1979|7|31}},
female,岩政 久美子,いわまさ くみこ,3407958,1988,,,,,,,,
female,加藤 誉子,かとう たかこ,3354007,1977,O型{{Cite web|和書|url=http://blog.livedoor.jp/hormonjyogakuin/archives/11544047.html|title=加藤たかこ プロフィール|publisher=吉本ホルモン女学院 オフィシャルサイト|date=2004-12-30|accessdate=2016-01-26}},156cm,,,,大阪府富田林市,{{生年月日と年齢|1977|8|7}},
female,加藤 悠,かとう はるか,2487430,1989,,154cm,50kg,,,神奈川県横浜市,{{生年月日と年齢|1989|2|5}},
female,石井 てる美,いしい てるみ,2455614,1983,O型,,,,,{{JPN}}・東京都,{{生年月日と年齢|1983|7|4}},
female,小川 恵夢,おがわ めぐむ,2137557,1984,O型,153cm,,,,福岡県北九州市,{{生年月日と年齢|1984|11|4}},
female,神田 陽乃丸,かんだ ひのまる,5030003,1974,,,,,,,,
female,神田 紅希,かんだ こうき,5029904,1997,,,,,,,,
female,旭堂 南歌,きょくどう なんか,4805288,,,,,,,,,
female,神田 こなぎ,かんだ こなぎ,4763121,,,,,,,,,
female,旭堂 南鈴,きょくどう なんれい,4704279,,,,,,,{{Flagicon|JPN}} 大阪府,1974年12月19日,{{JPN}}
female,田辺 いちか,たなべ いちか,4665637,1979,,,,,,,,
female,桃川 鶴女,ももかわ つるじょ,4500779,1953,,,,,,,,
female,田辺 一乃,たなべ かずの,4494460,1962,,,,,,,,
female,田辺 凌天,たなべ りょうてん,4492596,,,,,,,,,
female,宝井 琴嶺,たからい きんれい,4492594,1938,,,,,,,,
female,宝井 梅福,たからい うめふく,4492376,,,,,,,,,
female,神田 桜子,かんだ さくらこ,4355110,1987,,,,,,,,
female,神田 翠月,かんだ すいげつ,4349383,1943,,,,,,,,
female,田辺 鶴英,たなべ かくえい,4229664,1955,,,,,,,,
female,神田 紅葉,かんだ もみじ,4212978,1950,,,,,,,,
female,相田 あすか,あいだ あすか,4163570,1996,,,,,,,,
female,神田 紅純,かんだ こうじゅん,4156498,1977,,,,,,,,
female,神田 紅佳,かんだ べにか,4156468,,,,,,,,,
female,神田 陽子,かんだ ようこ,4156195,1958,,,,,,,,
female,有元 さくら子,ありもと さくらこ,4122340,2001,,170.8cm{{Cite web|和書|url=https://web.archive.org/web/20191207214439/https://trendnews.yahoo.co.jp/archives/634493/|title=【インタビュー】現役女子高生芸人・有元さくら子「JKじゃなくなったらただの女体」|work=トレンドニュース|publisher=GYAO!|date=2019-07-23|accessdate=2020-04-23}}→ 172cm,,,,東京都世田谷区,{{生年月日と年齢|2001|8|18}},
female,神田 鯉栄,かんだ りえい,4067764,1973,,,,,,,,
female,神田 昌味,かんだ まさみ,3844581,1970,,,,,,,,
female,旭堂 南春,きょくどう なんしゅん,3301193,1978,,,,,,,,
female,田辺 一邑,たなべ いちゆう,2612680,1961,,,,,,,,
female,神田 すみれ,かんだ すみれ,2602072,,,,,,,,,
female,神田 香織,かんだ かおり,1765895,1954,,,,,,,,
female,鈴木 由美,すずき ゆみ,5017750,,,,,,,,,{{JPN}}
female,駒井 志づ子,こまい しづこ,4851133,1903,,,,,,,,
female,城 ノブ,じょう ノブ,4814858,1872,,,,,,,,
female,五ノ井 里奈,ごのい りな,4767695,1999,,,,柔道指導者,,宮城県石巻市,{{生年月日と年齢|1999|09|29}},{{JPN}}
female,塚本 ハマ,つかもと ハマ,4734704,1866,,,,,,,,
female,小杉 沙織,こすぎ さおり,4716798,1973,,,,社会活動家、講演家、カウンセラー、若者心理アドバイザー,,{{JPN}}・神奈川県,1973年2月12日,{{JPN}}
female,高橋 喜久江,たかはし きくえ,4689585,1933,,,,日本キリスト教婦人矯風会職員,お茶の水女子大学文教育学部,,1933年3月6日,{{JPN}}
female,柴原 浦子,しばはら うらこ,4644700,1897,,,,,,広島県御調郡,1887年,{{JPN}}
female,金城 芳子,きんじょう よしこ,4549304,1902,,,,,沖縄県立第一高等女学校,沖縄県那覇区辻町,{{生年月日と年齢|1902|3|28|no}},{{JPN}}
female,中嶋 涼子,なかじま りょうこ,4316490,1986,,,,,,,,
female,世古 一穂,せこ かずほ,4254400,1952,,,,,,,,
female,相馬 雪香,そうま ゆきか,4220001,1912,,,,難民を助ける会 会長、尾崎行雄記念財団 副会長、日刊女性親善協会 名誉会長、他,聖心女子学院,東京市品川,{{生年月日と年齢|1912|1|26|no}},{{JPN}}
female,清水 郁子,しみず いくこ,4168633,1892,,,,,,,,
female,中村 詩織,なかむら しおり,4075246,1982,,,,,,,,
female,小森 美登里,こもり みどり,4045761,1957,,,,,,,,
female,島田 妙子,しまだ たえこ,4015424,1972,,,,,,,,
female,杉田 つる,すぎた つる,4010584,1882,,,,,,,,
female,徳富 久子,とくとみ ひさこ,3861535,1829,,,,,,,,
female,富本 一枝,とみもと かずえ,3815181,1893,,,,,,,,
female,渋谷 黎子,しぶや れいこ,3799872,1909,,,,平凡社社員→農民運動家,梁川町立実科高等女学校,福島県伊達郡粟野村,{{生年月日と年齢|1909|6|24|no}},{{JPN}}
female,菅 寿子,すが ひさこ,3777019,1909,,,,社会福祉法人紅梅会 理事長紅梅学園 園長,私立佐藤高等女学校,東京市下谷区龍泉寺町,{{生年月日と年齢|1909|5|20|no}},{{JPN}}
female,仲村 俊子,なかむら としこ,3756722,1922,,,,元小学校教員,,{{JPN}} 沖縄県うるま市勝連,{{Birth year and age|1922}},{{JPN}}
female,サーロー 節子,サーロー せつこ,3710550,1932,,,,平和運動家{{Cite book|title=光に向かって這っていけ - 岩波書店|url=http://www.iwanami.co.jp/book/b458087.html}}平和大使,広島女学院大学{{仮リンク|リンチバーグ大学|en|Lynchburg College}}トロント大学,{{JPN}}・広島県広島市南区,{{生年月日と年齢|1932|1|3|}},
female,佐野 文子,さの ふみこ,3361040,1893,,,,日本キリスト教婦人矯風会旭川支部長→旭川国防婦人会副理事長→同支部長→旭川婦人会会長→母子相談員、保護司、他多数,島根県立高等女学校,{{JPN}} 島根県那賀郡浜田町,1893年12月,{{JPN}}
female,中川 イセ,なかがわ イセ,3328035,1901,,,,,,,,
female,鈴木 セイ,すずき セイ,2880795,1912,,,,,,群馬県桐生市境野町,{{生年月日と年齢|1912|3|30|no}},{{JPN}}
female,島 マス,しま マス,2846325,1900,,,,,,,,
female,木村 駒子,きむら こまこ,2781774,1887,,,,{{Hlist-comma| 女優 | フェミニスト | 神秘主義研究家 }},,{{JPN}}・熊本県熊本市,{{生年月日と年齢|1887|7|29|no}},
female,富井 於菟,とみい おと,2539683,1866,,,,,,,,
