birth_date,birth_place,birth_year,blood_type,drop,education,extract,height,hiragana,infobox,kanji,nationality,occupation,pageid,sex,title,weight
,,1968,,False,,-1,,あかさか よしえ,-1,赤坂芳恵,,,430499,female,赤坂芳恵,
,,1992,,False,,-1,,あきやま ゆりか,-1,秋山ゆりか,,,1024047,female,秋山ゆりか,
1957年10月17日,{{JPN}}・大阪府大阪市住吉区,1957,-,False,住吉学園高等学校 卒業,-1,,あき ひとみ,-1,秋ひとみ,,歌手、タレント,1377438,female,秋ひとみ,
,,1979,,False,,-1,,あきの ひとみ,-1,秋野ひとみ,,,1476577,female,秋野ひとみ (女優),
{{Birth year and age|1963}},{{Flagicon|JPN}} 大阪府大阪市,1963,,False,東京慈恵会医科大学医学部東京慈恵会医科大学大学院,-1,,しんどう なほこ,-1,進藤奈邦子,,内科学感染症学,1641078,female,進藤奈邦子,
,,1965,,False,,-1,,あきもと りお,-1,秋本理央,,,1736091,female,秋本理央,
1664年,伊勢国 山田,1664,,False,,-1,,しば そのめ,-1,斯波園女,,俳諧師、雑俳点者、眼科医,1777948,female,斯波園女,
,,1988,,False,,-1,,あきもと さやか,-1,秋元才加,,,1994827,female,秋元才加,
,,1975,,False,,-1,,あきもと あやか,-1,秋元彩香,,,2302766,female,秋元彩香,
,,1661,,False,,-1,,のなか えん,-1,野中婉,,,2306716,female,野中婉,
,{{Flagicon|JPN}} 東京都,,,False,順天堂大学医学部ハーバード大学大学院,-1,,とみさか みおり,-1,富坂美織,,産婦人科医医学博士,2484022,female,富坂美織,
,,1994,,False,,-1,,あきた ちさと,-1,秋田知里,,,2639815,female,秋田知里,
,,1993,,False,,-1,,あきもと まなつ,-1,秋元真夏,,,2758396,female,秋元真夏,
1951年,,1951,,False,名古屋大学医学部,-1,,まつなが かよこ,-1,松永佳世子,,医師,2822417,female,松永佳世子,
,,1994,,False,,-1,,あかねや ひみか,-1,茜屋日海夏,,,2927648,female,茜屋日海夏,
,,1993,,False,,-1,,あおやま ひかる,-1,青山ひかる,,,2946411,female,青山ひかる (タレント),
,,1993,,False,,-1,,あきやま ゆずき,-1,秋山ゆずき,,,3107295,female,秋山ゆずき,
,,,,False,,-1,,あさの ゆうこ,-1,浅野ゆう子,,,44173,female,浅野ゆう子,
,,1956,,False,,-1,,あさだ みよこ,-1,浅田美代子,,,110124,female,浅田美代子,
,,1955,,False,,-1,,あさおか めぐみ,-1,麻丘めぐみ,,,211724,female,麻丘めぐみ,
,,1968,,False,,-1,,あさくら あき,-1,浅倉亜季,,,336637,female,浅倉亜季,
,,1978,,False,,-1,,あさかわ ちひろ,-1,浅川稚広,,,416773,female,浅川稚広,
,,1970,,False,,-1,,あさの あいこ,-1,浅野愛子,,,819767,female,浅野愛子,
,,,,False,,-1,,あさだ はなこ,-1,麻田華子,,,901944,female,麻田華子,
,,1984,,False,,-1,,あづき ちえみ,-1,亜月ちえみ,,,912854,female,亜月ちえみ,
,,1990,,False,,-1,,あだにや なぎさ,-1,安谷屋なぎさ,,,1013175,female,安谷屋なぎさ,
,,1981,,False,,-1,,あだち ゆみ,-1,安達祐実,,,1045274,female,安達祐実,
,,1994,,False,,-1,,あさひ なお,-1,朝日奈央,,,1293887,female,朝日奈央,
,,1991,,False,,-1,,あさな みゆき,-1,浅奈深雪,,,1477867,female,浅奈深雪,
,,1981,,False,,-1,,よしだ さえこ,-1,吉田小江子,,,1676954,female,吉田小江子,
,,1989,,False,,-1,,あさかわ ことみ,-1,朝川ことみ,,,1777411,female,朝川ことみ,
,,1992,,False,,-1,,あさ ともみ,-1,麻友美,,,2093021,female,麻友美,
,,1953,,False,,-1,,あさくら りえ,-1,朝倉理恵,,,2487821,female,朝倉理恵,
{{生年月日と年齢|1969|12|4}},{{JPN}}・宮崎県宮崎市{{Cite web|和書|url=http://www.yui-asaka.com/about_index.html |title=公式プロフィール |work=YUI'S AVENUE |accessdate=2014-05-08}},1969,,False,明治大学付属中野高等学校{{Sfn|日外アソシエーツ|1994|p=17}}定時制卒業,-1,,あさか ゆい,-1,浅香唯,,歌手、女優、タレント、アイドル,2831489,female,浅香唯,
,,1999,,False,,-1,,あさかわ なな,-1,浅川梨奈,,,2905439,female,浅川梨奈,
,,1996,,False,,-1,,あずま りおん,-1,東李苑,,,3118994,female,東李苑,
,,1985,,False,,-1,,あべ あさみ,-1,安倍麻美,,,25137,female,安倍麻美,
{{生年月日と年齢|1981|8|10}},{{JPN}} 北海道室蘭市,1981,A型,False,,-1,,あべ なつみ,-1,安倍なつみ,,歌手,26048,female,安倍なつみ,
{{生年月日と年齢|1951|11|28}},{{JPN}}・三重県松阪市中町,,A型,False,東海学園女子短期大学,-1,,あべ しずえ,-1,あべ静江,,歌手、女優,68884,female,あべ静江,
{{生年月日と年齢|1951|11|5}},{{JPN}}・埼玉県大宮市（現：さいたま市）,1951,,False,国立音楽高等学校 卒業,-1,,あまち まり,-1,天地真理,,歌手、女優、アイドル、タレント,171198,female,天地真理,
,,1987,,False,,-1,,あまかわ みほ,-1,天川美穂,,,631098,female,天川美穂,
{{生年月日と年齢|1968|1|11}},{{JPN}} 群馬県前橋市,1968,,False,成蹊大学文学部,-1,161,あべ ゆみこ,-1,阿部由美子,,芸能プロダクション社長実業家,832876,female,阿部由美子,43
,,1967,,False,,-1,,あらい しょうこ,-1,荒井晶子,,,850431,female,荒井晶子,
{{生年月日と年齢|1965|6|4}},{{JPN}} 愛知県名古屋市,1965,,False,,-1,,あらい かおるこ,-1,新井薫子,{{JPN}},イラストレーター、現代美術家、元アイドル歌手,1006390,female,新井薫子,
,,1981,,False,,-1,,あやね りん,-1,彩音凛,,,1062071,female,彩音凛,
4月2日,{{flagicon|JPN}} 千葉県市川市,,O型,False,麹町学園女子高等学校 東横学園女子短期大学 京都芸術大学通信教育部,-1,,あらい さちえ,-1,荒井祥恵,,シンガーソングライター  昭和歌謡歌手,1215102,female,荒井祥恵,
{{生年月日と年齢|1997|11|19}}{{Cite web | archiveurl=https://web.archive.org/web/20201217224907/http://www.upupgirlskakkokari.com/contents/profile/arai_manami.php | archivedate=2020-12-17 | url=http://www.upupgirlskakkokari.com/contents/profile/arai_manami.php | title=Profile 新井 愛瞳 | work=アップアップガールズ(仮) 公式サイト | accessdate=2021-01-01}}D・GIRLS 〜ソーシャルメディアの踊り手たち〜 73頁,{{JPN}} 群馬県,1997,B型,False,,-1,,あらい まなみ,-1,新井愛瞳,,歌手,1427061,female,新井愛瞳,
,,1986,,False,,-1,,あびる ゆう,-1,あびる優,,,1492235,female,あびる優,
,,1987,,False,,-1,,あらい ひろの,-1,新井寛乃,,,1771734,female,新井寛乃,
,,1996,,False,,-1,,あべかわ みどり,-1,安倍川緑,,,2126824,female,安倍川緑,
,,1984,,False,,-1,,あやはね まや,-1,彩羽真矢,,,2260008,female,彩羽真矢,
{{生年月日と年齢|1998|4|10}},{{JPN}}・宮城県柴田郡大河原町,1998,O型,False,,-1,,あらい ひとみ,-1,新井ひとみ,,歌手、タレント,2379953,female,新井ひとみ,
,{{JPN}} 兵庫県神戸市,1992,A型,False,,-1,,あまみや ゆうか,-1,雨宮悠香,,タレント,2397755,female,雨宮悠香,
,,1995,,False,,-1,,あべ マリア,-1,阿部マリア,,,2430669,female,阿部マリア,
{{生年月日と年齢|1948|12|20}},{{JPN}}静岡県熱海市,1948,,False,ウィーン音楽院,-1,,うちだ みつこ,-1,内田光子,,ピアニスト、指揮者,67684,female,内田光子,
,{{JPN}},,,False,東京音楽大学,-1,,つつみ ちえこ,-1,堤智恵子,,演奏家,138560,female,堤智恵子,
{{birth date and age|1937|04|18}},{{JPN}} 東京都,1937,,False,,-1,,あべ けいこ,-1,安倍圭子,,,154866,female,安倍圭子,
{{生年月日と年齢|1952|7|1}},{{flagicon|JPN}} 兵庫県神戸市,1952,AB型,False,,-1,,はしもと いちこ,-1,橋本一子,,ピアニスト、作曲家,262965,female,橋本一子,
{{生年月日|1890|3|14}}{{RUS1883}}・サンクトペテルブルク,,1890,,False,ペテルブルク音楽院,-1,,おの アンナ,-1,小野アンナ,,ヴァイオリニスト、音楽教育者,308991,female,小野アンナ,
{{生年月日と年齢|1971|10|25}},{{JPN}}大阪府枚方市,1971,,False,,-1,,ごとう みどり,-1,五嶋みどり,,ヴァイオリニスト,316160,female,五嶋みどり,
{{生年月日|1943|3|18}},{{JPN}}東京都,1943,,False,桐朋学園大学,-1,,いまい のぶこ,-1,今井信子,,ヴィオリスト,327204,female,今井信子,
{{生年月日と年齢|1963|10|11}},{{JPN}} 東京都,1963,,False,,-1,,うえの ようこ,-1,上野洋子,,シンガーソングライター歌手作曲家編曲家作詞家音楽プロデューサーキーボーディスト,398803,female,上野洋子,
1932年2月5日,{{JPN}}・東京府,1932,,False,旧制東京女子高等師範学校附属女学校中退,-1,,たなか きよこ,-1,田中希代子,,ピアニストピアノ教育者,410375,female,田中希代子,
,,1946,,False,,-1,,しおかわ ゆうこ,-1,塩川悠子,,,830359,female,塩川悠子,
,,1936,,False,,-1,,いのうえ みよ,-1,井上美代,,,847842,female,井上美代,
{{生年月日と年齢|1983|1|30}},東京都国分寺市,1983,,False,,-1,,しょうじ さやか,-1,庄司紗矢香,,ヴァイオリニスト,883244,female,庄司紗矢香,
{{生年月日と年齢|1958|6|3}},{{JPN}}・神奈川県横浜市,1958,,False,フェリス女学院短期大学音楽科ピアノ科卒,-1,,なかむら ゆりこ,-1,中村由利子,,ピアニスト,929055,female,中村由利子,
,,1950,,False,,-1,,すぎい あけみ,-1,杉井明美,,,944741,female,杉井明美,
{{生年月日と年齢|1972||}},{{JPN}}・東京都,1972,,False,東京藝術大学,-1,,あんどう ゆうこ,-1,安藤裕子,,ヴィオリスト,1194044,female,安藤裕子 (ヴィオラ奏者),
,,,,False,,-1,,いのうえ ゆうこ,-1,井上祐子,,,1206034,female,井上祐子 (ヴィオラ奏者),
{{生年月日と年齢|1982|2|5}},{{JPN}}・福岡県,1982,,False,筑波大学附属視覚特別支援学校卒業,-1,,たてみち さとこ,-1,立道聡子,,ミュージシャンシンガーソングライター作曲家作詞家,1697617,female,立道聡子,
{{Birth date and age|1974|12|26}},{{JPN}}・宮崎県,1974,,False,,-1,,いけだ しょうこ,-1,池田昭子,,オーボエ奏者,1988351,female,池田昭子,
,,1974,,False,,-1,,うえの さゆき,-1,上野砂由紀,,,2019997,female,上野砂由紀,
{{生年月日と年齢|1982|12|22}},{{JPN}}、東京都武蔵野市,1982,,False,洗足学園音楽大学卒業,-1,,いちはら ひかり,-1,市原ひかり,,演奏家,2032322,female,市原ひかり,
,,1927,,False,,-1,,おがた さだこ,-1,緒方貞子,,,132964,female,緒方貞子,
,,1971,,False,,-1,,やまもと かなえ,-1,山本香苗,,,568270,female,山本香苗,
,,1921,,False,,-1,,やまね としこ,-1,山根敏子,,,615602,female,山根敏子,
,,1970,,False,,-1,,はやし みか,-1,林美香,,,640861,female,林美香,
{{生年月日と年齢|1946|08|17}},{{JPN}} 富山県,1946,,False,東京大学文学部,-1,,ばんどう まりこ,-1,坂東眞理子,,評論家、元官僚,778026,female,坂東眞理子,
,,1958,,False,,-1,,さいき なおこ,-1,斎木尚子,,,1189946,female,斎木尚子,
,,1992,,False,,-1,,かまだ ありさ,-1,鎌田安里紗,,,2034147,female,鎌田安里紗,
,,1899,,False,,-1,,たつけ たつこ,-1,田付辰子,,,2459260,female,田付辰子,
{{生年月日と年齢|1972}},{{JPN}}・京都府{{Cite book|和書 |editor=四方田犬彦 |title=李香蘭と東アジア |page=291 |year=2001 |publisher=東京大学出版会}},1972,,False,,-1,,いしだ みのり,-1,石田美紀,,映画批評家、映画学者,2984023,female,石田美紀,
,,1971,,False,,-1,,うえだ なおこ,-1,上田修子,,,3004594,female,上田修子,
{{生年月日と年齢|1963|7|24}},愛知県西加茂郡三好町（現・みよし市）,1963,,False,一橋大学法学部,-1,,しの みつこ,-1,志野光子,{{JPN}},外交官,3040213,female,志野光子,
,,1971,,False,,-1,,まつかわ るい,-1,松川るい,,,3453571,female,松川るい,
,,1981,,False,,-1,,たかせ ひろみ,-1,高瀬弘美,,,3455545,female,高瀬弘美,
{{生年月日と年齢|1960|11|15}},{{JPN}}・東京都,1960,,False,一橋大学法学部スペイン外交官学校,-1,,みずとり まみ,-1,水鳥真美,,国連事務総長特別代表,3738182,female,水鳥真美,
{{birth year and age|1966}},{{JPN}}東京都,1966,,False,一橋大学法学部ケンブリッジ大学エマニュエル・カレッジ,-1,,おかい あさこ,-1,岡井朝子,,国連事務次長補、国連開発計画総裁補兼危機局長,3799925,female,岡井朝子,
,,,,False,,-1,,ふくしま かよこ,-1,福嶌香代子,,,3823124,female,福嶌香代子,
,,1966,,False,,-1,,とよだ あさこ,-1,豊田麻子,,,3987172,female,豊田麻子 (総務技官),
{{生年月日と年齢|1960|10|14}},{{Flagicon|JPN}} 岡山県岡山市,1960,,False,札幌医科大学岡山大学ジョンズ・ホプキンズ大学,-1,,やまもと なおこ,-1,山本尚子,,感染症学公衆衛生学国際保健学,4013997,female,山本尚子,
{{生年月日と年齢|1979|9|6}},愛知県,1979,,False,,-1,,あかぼし ひろみ,-1,赤星裕美,,社会活動家,4033445,female,赤星裕美,
1890年10月18日,岡山県岡山市弓之町（現・北区内）,1890,,False,岡山県立岡山高等女学校（中退）,-1,,くつみ ふさこ,-1,九津見房子,{{JPN}},社会運動家,38475,female,九津見房子,
,,1903,,False,,-1,,かねこ ふみこ,-1,金子文子,,,51837,female,金子文子,
1901年9月19日,{{JPN}}・東京府東京市本郷区（現・東京都文京区）,1901,,False,東京女子高等師範学校附属高等女学校中退,-1,,さわだ みき,-1,沢田美喜,{{JPN}},社会事業家,137714,female,沢田美喜,
{{生年月日と年齢|1927|3|11|no}},{{JPN}}・熊本県天草郡河浦町（現・天草市）,1927,,False,水俣実務学校（現 熊本県立水俣高等学校）卒業,-1,,いしむれ みちこ,-1,石牟礼道子,{{JPN}},小説家・詩人,143524,female,石牟礼道子,
,,1887,,False,,-1,,くじょう たけこ,-1,九条武子,,,287390,female,九条武子,
,,1893,,False,,-1,,いちかわ ふさえ,-1,市川房枝,,,309395,female,市川房枝,
1889年5月7日,静岡県田方郡三島町（現・三島市）,1889,,False,共立女学校,-1,,さかもと まこと,-1,坂本真琴,{{JPN}},婦人運動家、評論家,313926,female,坂本真琴,
,,1895,,False,,-1,,おく むめお,-1,奥むめお,,,313950,female,奥むめお,
,,1897,,False,,-1,,かとう シヅエ,-1,加藤シヅエ,,,326863,female,加藤シヅエ,
{{生年月日と年齢|1921|10|3|no}},,1921,,False,,-1,,さとう はつめ,-1,佐藤初女,{{JPN}},福祉活動家・教育者。,512970,female,佐藤初女,
,,1953,,False,,-1,,おかざき ゆき,-1,岡崎友紀,,,536446,female,岡崎友紀,
,,1905,,False,,-1,,いとう ちよこ,-1,伊藤千代子,,,578767,female,伊藤千代子,
,,1950,,False,,-1,,かだ ゆきこ,-1,嘉田由紀子,,,601480,female,嘉田由紀子,
1897年10月23日,{{TAW1895}} 台北市,1897,,False,同志社女学校専門学部,-1,,いぶか やえ,-1,井深八重,,看護婦,603770,female,井深八重,
{{生年月日と年齢|1967|11|9}},{{JPN}} 東京都世田谷区,1967,,False,,-1,,かわな まりこ,-1,川奈まり子,,作家コラムニスト人権活動家元AV女優,791276,female,川奈まり子,
{{生年月日と年齢|1945|3|30}},{{JPN}}・東京都大田区北千束,1945,,False,森村学園高等部日本大学芸術学部造形科（中退）米国オレゴン州・マルトノマJr・カレッジ,-1,,かとう たき,-1,加藤タキ,,タキ・オフィス代表,877257,female,加藤タキ,
,,1836,,False,,-1,,くすのせ きた,-1,楠瀬喜多,,,1128570,female,楠瀬喜多,
{{生年月日と年齢|1970|11|24}},{{JPN}}・神奈川県横浜市,1970,,False,津田塾大学卒業日本女子大学大学院中退,-1,,きたはら みのり,-1,北原みのり,,著作家、社会活動家、実業家,1146686,female,北原みのり,
{{生年月日|1902|01|07}},{{JPN}} 奈良県磯城郡平野村（現：田原本町満田）,1902,,False,,-1,,すみい すえ,-1,住井すゑ,,小説家,221418,female,住井すゑ,
,,1959,,False,,-1,,なかざわ けい,-1,中沢けい,,,302091,female,中沢けい,
1854年9月29日,{{JPN}} 美濃国恵那郡岩村（現在の岐阜県恵那市）,1854,,False,,-1,,しもだ うたこ,-1,下田歌子,,教育者,336775,female,下田歌子,
{{生年月日と年齢|1864|01|13|死去}},京都,1864,,False,,-1,,なかじま しょうえん,-1,中島湘煙,{{JPN}},,393865,female,中島湘煙,
,,1923,,False,,-1,,とうじょう まきえ,-1,東條満喜枝,,,417988,female,東條満喜枝,
,,1929,,False,,-1,,あかまつ りょうこ,-1,赤松良子,,,596533,female,赤松良子,
{{生年月日と年齢|1967|6|2}},{{JPN}}・滋賀県,1967,,False,龍谷大学大学院政策学研究科,-1,157 cm,なかの えみこ,-1,中野栄美子,,タレント,822875,female,中野栄美子,
,,1855,,False,,-1,,なべしま ながこ,-1,鍋島榮子,,,997902,female,鍋島榮子,
{{生年月日と年齢|1925|10|7|no}},東京都京橋,1925,,False,実践女子専門学校,-1,,たなか さとこ,-1,田中里子,{{JPN}},市民運動家,1012210,female,田中里子,
,,1933,,False,,-1,,しょうじ るつこ,-1,東海林路得子,,,1551132,female,東海林路得子,
,,1960,,False,,-1,,あらき ゆきこ,-1,荒木由季子,,,1657835,female,荒木由季子,
,,1849,,False,,-1,,しらい ひさい,-1,白井久井,,,1935515,female,白井久井,
,,1933,,False,,-1,,にしはら ゆきこ,-1,西原由記子,,,2003095,female,西原由記子,
,,1902,,False,,-1,,たんの せつ,-1,丹野セツ,,,2369274,female,丹野セツ,
,,1866,,False,,-1,,とみい おと,-1,富井於菟,,,2539683,female,富井於菟,
,,1900,,False,,-1,,しま マス,-1,島マス,,,2846325,female,島マス,
{{生年月日と年齢|1912|3|30|no}},群馬県桐生市境野町,1912,,False,,-1,,すずき セイ,-1,鈴木セイ,{{JPN}},,2880795,female,鈴木セイ,
{{生年月日と年齢|1956|03|21}},{{JPN}} 福岡県,1956,,False,東京大学法学部卒業,-1,,いき のりこ,-1,伊岐典子,,厚生労働官僚、外交官,3021607,female,伊岐典子,
,,1959,,False,,-1,,いしい なおこ,-1,石井菜穂子,,,3327826,female,石井菜穂子,
,,1901,,False,,-1,,なかがわ イセ,-1,中川イセ,,,3328035,female,中川イセ,
,,1941,,False,,-1,,かわぐち よりこ,-1,川口順子,,,47303,female,川口順子,
,,1914,,False,,-1,,かねこ みつ,-1,金子みつ,,,308273,female,金子みつ,
,,1959,,False,,-1,,かたやま さつき,-1,片山さつき,,,344603,female,片山さつき,
,,,,False,,-1,,ごじょう あきら,-1,五條瑛,,,427936,female,五條瑛,
,,1950,,False,,-1,,おおいずみ ひろこ,-1,大泉博子,,,567484,female,大泉博子,
,,1924,,False,,-1,,くぼた まなえ,-1,久保田真苗,,,609143,female,久保田真苗,
{{生年月日と年齢|1918|5|7|no}},{{Flagicon|JPN1889}} 日本・東京府東京市下谷区{{Cite web|和書|url=https://www.suzunoya.com/corp/kiyokokoizumi/index.html |title=小泉清子 |website=鈴乃屋 |accessdate=2026-03-08 }}（現・東京都台東区）,1918,,False,東京府立第一高等女学校,-1,,こいずみ きよこ,-1,小泉清子,,和服研究家、実業家,855251,female,小泉清子,
,,1955,,False,,-1,,さじま なおこ,-1,佐島直子,,,1055915,female,佐島直子,
,,1949,,False,,-1,,さかもと ゆきこ,-1,坂本由紀子,,,1139539,female,坂本由紀子,
,,1955,,False,,-1,,かねこ ゆうこ,-1,金子優子,,,1199819,female,金子優子,
,,1967,,False,,-1,,きど のりか,-1,木戸典佳,,,1361873,female,木戸典佳,
,,1951,,False,,-1,,おおた ふさえ,-1,太田房江,,,1449178,female,太田房江,
,,1947,,False,,-1,,いわた きみえ,-1,岩田喜美枝,,,1736259,female,岩田喜美枝,
,,1938,,False,,-1,,かわはし ゆきこ,-1,川橋幸子,,,1884668,female,川橋幸子,
1968年,{{Flagicon|JPN}} 東京都,1968,,False,日本女子大学家政学部卒業,-1,,こばた てるみ,-1,古旗照美,,しょくスポーツ代表取締役,1897904,female,古旗照美,
,,,,False,,-1,,いとう すみこ,-1,伊藤澄子,,,2428959,female,伊藤澄子,
,,1965,,False,,-1,,うえにし みつこ,-1,上西充子,,,3316730,female,上西充子,
,,1979,,False,,-1,,くにみつ あやの,-1,国光文乃,,,3694819,female,国光文乃,
,,1957,,False,,-1,,おかむら かずみ,-1,岡村和美,,,3764096,female,岡村和美,
,,1954,,False,,-1,,たかはし はるみ,-1,高橋はるみ,,,210122,female,高橋はるみ,
,,1948,,False,,-1,,くさはら まちこ,-1,草原真知子,,,396592,female,草原真知子,
,,1927,,False,,-1,,たかはし ひさこ,-1,高橋久子,,,403125,female,高橋久子,
,,1909,,False,,-1,,たなか すみこ,-1,田中寿美子,,,613753,female,田中寿美子,
,,1957,,False,,-1,,かさはら みちこ,-1,笠原美智子,,,2019104,female,笠原美智子,
,,1940,,False,,-1,,すずき ようこ,-1,鈴木陽子,,,2251272,female,鈴木陽子 (医師),
1916年4月19日,{{CHN1912}}・長春県,1916,,False,東京女子大学卒業早稲田大学卒業,-1,,たかはし のぶこ,-1,高橋展子,{{JPN}},官僚、評論家,2343317,female,高橋展子,
,,1934,,False,,-1,,さとう ギンこ,-1,佐藤ギン子,,,2848217,female,佐藤ギン子,
,,1988,,False,,-1,,かわせ あゆみ,-1,河瀬鮎美,,,3371201,female,河瀬鮎美,
,,1960,,False,,-1,,たけいし えみこ,-1,武石恵美子,,,3601452,female,武石恵美子,
,,1965,,False,,-1,,かたおか まみ,-1,片岡真実,,,3768815,female,片岡真実,
,,1975,,False,,-1,,いいだ しほこ,-1,飯田志保子,,,3768888,female,飯田志保子,
,,1965,,False,,-1,,たなか としえ,-1,田中俊恵,,,3864508,female,田中俊恵,
,,1980,,False,,-1,,すが ちづる,-1,須賀千鶴,,,3879489,female,須賀千鶴,
,,1962,,False,,-1,,じょうづか ゆみこ,-1,定塚由美子,,,3915282,female,定塚由美子,
,,1969,,False,,-1,,すぎうち ゆみこ,-1,杉内由美子,,,3991439,female,杉内由美子,
{{生年月日と年齢|1910|1|7|no}},東京府小石川区,1910,,False,,-1,,たかさき せつこ,-1,高崎節子,,小説家、教師、労働省官僚,4040504,female,高崎節子,
1950年,東京都,1950,,False,,-1,,おおさか えりこ,-1,逢坂恵理子,{{JPN}},キュレーター,4040581,female,逢坂恵理子,
,,1958,,False,,-1,,しかた ゆきこ,-1,四方幸子,,,223083,female,四方幸子,
{{生年月日と年齢|1962|7|14}},{{JPN}} 東京都小平市,1962,,False,関西学院大学文学部日本文学科卒業早稲田大学第二文学部卒業,-1,,はらだ まは,-1,原田マハ,,小説家、キュレーター、カルチャーライター,746986,female,原田マハ,
{{Birth date and age|1976|12|25}},千葉県千葉市,1976,,False,東京芸術大学中退,-1,,ますやま れな,-1,増山麗奈,,画家、映画監督、ジャーナリスト芸術家、パフォーマー、作家、市民活動家,856498,female,増山麗奈,
{{生年月日と年齢|1943|9|10}},{{JPN}}・岡山県高梁市,1943,,False,お茶の水女子大学,-1,,ふかい あきこ,-1,深井晃子,{{JPN}},教育者・服装史研究者,1172600,female,深井晃子,
,,1955,,False,,-1,,たまむし さとこ,-1,玉蟲敏子,,,1194755,female,玉蟲敏子,
,,1972,,False,,-1,,たけうち まりこ,-1,竹内万里子,,,1700119,female,竹内万里子,
,,1962,,False,,-1,,みつだ ゆり,-1,光田由里,,,1895600,female,光田由里,
,,1890,,False,,-1,,なんじ よね,-1,南地よね,,,1945264,female,南地よね,
,,1940,,False,,-1,,えんどう ちえこ,-1,遠藤知恵子,,,1988002,female,遠藤知恵子,
