,infobox
1306,"{'名前': '竹内優月', '分類': '女流', '棋士番号': '89', '生年月日': '2011年{{月日|01|05|on}}（{{年数|2011|01|05}}歳）', 'プロ年度': '{{将棋年度|2023|2024年}}{{月日|03|01|on}}（{{年数|2011|01|05|2024|03|01}}歳）', '出身地': '東京都中央区', '所属': '関東', '師匠': '武市三郎七段', '段位': '女流2級', 'note': '{{リスト|奨励会7級（女流棋士と重籍）}}', '作成日時': '2024年8月20日'}"
1280,"{'名前': '久津知子', '分類': '女流', '棋士番号': '15', '生年月日': '{{生年月日と年齢|1972|11|23}}', 'プロ年度': '{{年月日|year=1992|month=10|day=1}}（{{年数|1972|11|23|1992|10|1}}歳）', '引退年度': '{{年月日|year=2018|month=3|day=31}}（{{年数|1972|11|23|2018|3|31}}歳）', '出身地': '北海道札幌市', '所属': '関東', '師匠': '勝浦修九段', '段位': '女流三段', '通算成績': '118勝178敗 0.3986{{Cite web|和書|url=https://www.shogi.or.jp/game/record/all_lady.html|title=女流棋士通算成績（2018年3月31日現在）|accessdate=2018-3-31|date=2018-3-31|publisher=日本将棋連盟|archiveurl=https://web.archive.org/web/20180331122555/https://www.shogi.or.jp/game/record/all_lady.html|archivedate=2018-3-31}}', '作成日時': '2023年4月3日'}"
121,"{'氏名': '阿部 由美子', 'ふりがな': 'あべ ゆみこ', '生年月日': '{{生年月日と年齢|1968|1|11}}', '生誕地': '{{JPN}} 群馬県前橋市', '出身校': '成蹊大学文学部', '職業': '芸能プロダクション社長実業家', '著名な実績': '「ベリーベリープロダクション」創設者', '影響を与えたもの': '小池里奈荒川ちか山田美紅羽本間菜穂', '身長': '161', '体重': '43', 'テレビ番組': '「オールナイトフジ」「あの夏に抱かれたい」「花燃える日日」「日本一のカッ飛び男」「自由の丘に私が残った」「世にも奇妙な物語」', '公式サイト': '{{Facebook|abe.yumiko.39}}'}"
581,"{'name': 'NGT48', 'img': '220px', 'img_capt': 'NGT48のロゴマーク', 'background': 'group', 'origin': '{{JPN}}', 'genre': 'J-POP', 'years_active': '2015年 -', 'label': 'アリオラジャパン（2017年 - 2020年）EMI Records（2020年 - ）', 'production': 'AKS（2015年 - 2020年3月26日）Flora（2020年4月1日 - ）', 'associated_acts': '秋元康（プロデューサー）AKB48グループ', 'url': '[https://ngt48.jp NGT48 Official Site]', 'current_members': 'メンバーを参照', 'past_members': '元メンバーを参照'}"
150,"{'name': '綾瀬 志希', 'background': 'singer', 'born': '3月14日', 'origin': '{{JPN}} 埼玉県', 'genre': 'J-POP', 'occupation': 'ボーカリスト', 'years_active': '2017年 -', 'label': 'I BLUE', 'production': 'ディアステージ', 'associated_acts': 'CYNHN （2017年 - ）', 'url': '[https://cynhn.com/ CYNHN Official Web Site]'}"
824,"{'氏名': '山本 真千子', 'ふりがな': 'やまもと まちこ', '画像': '{{画像募集中}}', '生年月日': '{{生年月日と年齢|1963|10|9}}', '生誕地': '{{Flagicon|JPN}} 兵庫県', '職業': '検察官', '国籍': '{{JPN}}', '出身校': '大阪市立大学法学部', '著名な実績': '大阪地方検察庁特別捜査部長大阪地方検察庁検事正札幌高等検察庁検事長福岡高等検察庁検事長'}"
905,"{'名前': '{{ruby|安藤|あんどう}} なつANDO NATSU', '画像': '150px', 'キャプション': '安藤なつ（2016年1月）', '本名': '安藤 和代（あんどう かずよ）', 'ニックネーム': 'なっちゃん', '生年月日': '{{生年月日と年齢|1981|1|31}}', '出身地': '{{JPN}}・東京都西多摩郡日の出町', '血液型': 'A型', '身長': '170cm', '方言': '標準語、多摩弁', '最終学歴': '東京都立南多摩高等学校（現東京都立南多摩中等教育学校）定時制 卒業', 'コンビ名': 'なつ☆あつこ（解散）ぷち観音（解散）（2009年9月 - 2012年7月）メイプル超合金（2012年8月 - ）', '相方': '窪田あつこ（なつ☆あつこ）松原陽子（ぷち観音）カズレーザー（メイプル超合金）', '芸風': '漫才（ツッコミ）', '立ち位置': '左', '事務所': 'サンミュージックプロダクション', '活動時期': '1996年 -', '同期': '品川庄司ハチミツ二郎（東京ダイナマイト）日野誠など', '他の活動': '女優', '配偶者': '独身（結婚歴あり）', '公式サイト': '[https://sunmusic-gp.co.jp/talent/maple_chogoukin/ メイプル超合金公式プロフィール]'}"
296,"{'氏名': '岡上 菊栄', 'ふりがな': 'おかのうえ きくえ', '画像': 'ファイル:Okanoue Kikue 1.jpg', '画像サイズ': '180', '画像説明': '1945年（昭和20年）頃', '生年月日': '1867年10月2日（慶応3年9月5日）{{R|岡上菊栄19981225_p134}}{{Efn2|name=""岡上菊栄19981225_p20""|生年は1865年（慶応元年）頃との説もある{{R|岡上菊栄19981225_p20}}。}}', '生誕地': '土佐郡上街本町{{R|岡上菊栄19981225_p20}}', '洗礼': '1922年12月25日{{R|岡上菊栄の生涯_p276}}', '没年月日': '1947年12月14日（80歳没）{{R|岡上菊栄19981225_p134}}', '死没地': '高知県高知市潮江{{R|岡上菊栄の生涯_p333}}', '死因': '老衰{{R|おばあちゃんはここぞね_p199}}', '墓地': '高知県高知市丹中山{{R|おばあちゃんはここぞね_p199}}', '記念碑': '高知県香美市 博愛園（児童養護施設）園内{{R|岡上菊栄19981225_p9}}', '国籍': '{{JPN}}', '出身校': '高知英和女学校（中退）{{R|おばあちゃんはここぞね_p176}}', '職業': '教員 → 高知博愛園園母', '活動期間': '1890年4月 - 1947年4月', '団体': '高知慈善協会{{R|岡上菊栄19981225_p72}}', '著名な実績': '孤児たちの育成と健康管理', '影響を受けたもの': '石井十次{{R|おばあちゃんはここぞね_p58}}', '身長': '150cm{{R|高知新聞19950717m_p18}}', '体重': '40kg{{R|高知新聞19950717m_p18}}', '活動拠点': '高知博愛園', '給料': '14円（1902年当時）{{R|岡上菊栄の生涯_p268}}{{Efn2|name=""金銭価値""|当時の金銭価値の参考として、1894年（明治27年）は食パン1斤が6銭{{R|明治の金勘定_p7}}（1銭は0.01円{{R|明治の金勘定_p17}}）、1899年（明治32年）は鶏卵6個が15銭だった{{R|明治の金勘定_p7}}。}}', '任期': '1902年4月1日 - 1947年4月', '前任者': '無し', '後任者': '#没後を参照', '宗教': 'キリスト教', '配偶者': '安岡栄吾{{R|岡上菊栄の生涯_p114}}', '子供': '浜田鶴意（次女、随筆家{{R|高知新聞19930510m_p19}}）岡上守材（次男、高知慈善協会 事務局長{{R|岡上菊栄19981225_p110}}）岡上千代（三女、修道女{{R|岡上菊栄19981225_p55}}）、他、計5人{{R|岡上菊栄の生涯_p114}}', '親': '岡上樹庵{{R|岡上菊栄19981225_p20}}坂本乙女または公文婦喜{{R|岡上菊栄19981225_p20}}', '親戚': '坂本龍馬（叔父〈異説あり〉{{R|明治を彩った妻たち_p163}}）'}"
863,"{'名前': 'くわがた心', '本名': '鍬形心(くわがたこころ)', 'ニックネーム': 'くわここ', '生年月日': '{{生年月日と年齢|2001|5|22}}', '出身地': '{{JPN}}・大阪府', '血液型': 'A型', '身長': '164cm', '芸風': '漫談・ものまね', '事務所': '松竹芸能', '活動時期': '2021年4月 -'}"
294,"{'氏名': '北山 郁子', 'ふりがな': 'きたやま いくこ', '生年月日': '{{生年月日と年齢|1926|7|25|なし}}', '出生地': '{{Flagicon|JPN}} 富山県富山市土居原町', '職業': '医師', '出身校': '東京女子医学専門学校', '配偶者': '吉朗'}"
449,"{'name': '増山 麗奈', 'image': 'Rena Masuyama 2015.jpg', 'caption': '2015年撮影', 'birth_date': '{{Birth date and age|1976|12|25}}', 'birth_place': '千葉県千葉市', 'education': '東京芸術大学中退', 'occupation': '画家、映画監督、ジャーナリスト芸術家、パフォーマー、作家、市民活動家', 'alias': '増山 れな', 'relatives': '増山直太郎（祖父）', 'years_active': '2001年 -'}"
1132,"{'headercolor': 'lightblue', 'club': '自衛隊体育学校', 'coach': '城竜也{{Cite news |title=近代五種・島津（ルーテル高出）が引退 東京五輪23位「心から納得」 |url=https://web.archive.org/web/20211005002736/https://nordot.app/817909630940872704 |newspaper=熊本日日新聞 |date=2021-10-05 |accessdate=2021-12-22}}', 'retired': '2021年', 'worlds': '世界選手権: 20位 (2021年)', 'sport': '近代五種競技', 'regionals': 'アジア・オセアニア選手権: 優勝 (2017年)アジア競技大会: 4位 (2018年)', 'nationals': '全日本選手権: 優勝 (2016年, 2018年, 2020年)', 'olympics': '23位 (2021年東京)', 'country': '{{flagcountry|Japan}}', 'name': '島津 玲奈', 'nationality': '日本', 'image': 'Rena Shimazu at the 2020 Summer Olympic Games modern pentathlon.jpg', 'caption': '東京オリンピックに出場中の島津', 'birth_date': '{{生年月日と年齢|1991|5|28}}{{Cite web|和書|title=選手プロフィル 島津玲奈 |url=https://www.jiji.com/jc/tokyo2020?s=profile&id=competition-og2020_person-shimazu-rena-0001&a=olyMPN |author=時事通信 |date=2021-07-01 |accessdate=2021-12-22}}', 'birth_place': '{{JPN}} 熊本県合志市', 'height': '161cm', 'weight': '51kg'}"
706,"{'name': ""生駒里奈 'IKOMACHANNEL'"", 'channel_url': 'UCKfIRa0Zhs6HQ33a_L6Tc5Q', 'channel_display_name': ""生駒里奈 'IKOMACHANNEL'"", 'years_active': '2020年 -', 'genre': '芸能', 'subscribers': '19.2万人', 'views': '889万回', 'stats_update': '{{dts|2025-10-11}}', 'silver_year': '2020年{{Cite AV media ja |url=https://www.youtube.com/watch?v=UyxX80FYgOE|title=【感謝】銀の盾が届きました！みなさんから頂いたコメントにいいね返し！|medium=YouTube配信|date=2020-10-31|accessdate=2020-11-09}}', 'silver_button': 'yes'}"
789,"{'名前': '{{ruby|暗黒天使|あんこくてんし}}', '別名義': 'アンジェラ・デストロイ（旧芸名）', '生年月日': '{{生年月日と年齢||6|11}}[https://kaleidoline.jp/geinin-meikan/01a/01a/ankoku_tenshi.htm 暗黒天使 芸人名鑑]', '出身地': '{{JPN}}・愛知県豊橋市', '出身': 'NSC東京校10期', 'グループ名': 'HAKO with THE BIBIAN（解散）', '芸風': '漫談、ものまね', '事務所': '吉本興業', '活動時期': '2005年 -', '同期': 'オリエンタルラジオはんにゃトレンディエンジェル など', '過去の代表番組': 'あらびき団やりすぎコージー など', '他の活動': '歌手', '公式サイト': '[http://www.kisara.jp/talent/angela/ プロフィール]'}"
1144,"{'name': '小村 つばさ', 'fullname': '小村 つばさ', 'nationality': '{{JPN}}', 'birth_name': '小村 つばさ', 'birth_date': '{{生年月日と年齢|1996|11|7}}', 'birth_place': '熊本県熊本市', 'sport': '女子', 'weight class': 'ライトフライ級・フライ級', 'club': '自衛隊体育学校', 'medaltemplates': '{{MedalCompetition|アジア女子選手権}} {{MedalBronze|2017 ホーチミン|ライトフライ級}}'}"
982,"{'name': '大岩 真由美', 'dateofbirth': '{{Birth date and age|1972|04|11}}', 'cityofbirth': '北海道室蘭市', 'countryofbirth': '{{JPN}}', 'years1': '1999-2008', 'league1': 'L・リーグ', 'role1': '審判員', 'internationalyears1': '2002-2007', 'confederation1': 'FIFA登録', 'internationalrole1': '審判員'}"
109,"{'氏名': '富坂 美織', 'ふりがな': 'とみさか みおり', '生誕地': '{{Flagicon|JPN}} 東京都', '出身校': '順天堂大学医学部ハーバード大学大学院', '職業': '産婦人科医医学博士', '公式サイト': 'https://mioritomisaka.jp/'}"
1090,"{'氏名': '河村 京子', 'ふりがな': 'かわむら きょうこ', '生年月日': '1944年', '生誕地': '{{JPN}} 大阪府', '職業': 'エステティシャン'}"
146,"{'name': '天野なつ', 'channel_url': 'UCPoyuXqbaw1F06N7XNdY3-A', 'channel_display_name': '天野なつ', 'years_active': '2018年 -', 'genre': '音楽'}"
243,"{'name': '村山 勝美', 'background': 'classic', 'school_background': '東京芸術大学音楽学部', 'origin': '{{JPN}}', 'instrument': 'ヴィオラ', 'genre': 'クラシック音楽', 'occupation': 'ヴィオラ奏者、モデル'}"
977,"{'氏名': 'おかざき なな', '生年月日': '{{生年月日と年齢|1961|1|22}}', '生誕地': '東京都', '職業': '恋愛・艶コンサルタント'}"
750,"{'name': '石毛礼子', 'background': 'singer', 'birth_name': '藤井奈緒美', 'born': '{{生年月日と年齢|1960|2|9}}', 'origin': '{{JPN}}・兵庫県宝塚市', 'genre': '歌謡曲', 'occupation': '歌手', 'years_active': '1981年 - 1983年', 'label': 'フィリップス'}"
776,"{'名前': 'おぎた ともこ', '本名': '補陀 知子（おぎた ともこ）', '生年月日': '{{生年月日と年齢|1979|5|31}}', '出身地': '広島県', '血液型': 'B型', '身長': '157cm', '方言': '広島弁', 'コンビ名': 'このみ', '相方': '村田千鶴', '芸風': '漫才、コント', '事務所': '太田プロダクション', '活動時期': '2005年 -', '過去の代表番組': '素敵な宇宙船地球号', '公式サイト': '[http://www.ohtapro.co.jp/jrlive/konomi/ このみ 公式プロフィール]'}"
1289,"{'名前': '大庭美樹', '分類': 'LPSA', '棋士番号': '9', '生年月日': '{{生年月日と年齢|1971|1|12}}', 'プロ年度': '{{年月日|year=1990|month=4|day=1}}（{{年数|1971|1|12|1990|4|1}}歳）', '引退年度': '{{年月日|year=2020|month=3|day=31}}（{{年数|1971|1|12|2020|3|31}}歳）', '出身地': '静岡県沼津市', '師匠': '佐瀬勇次名誉九段', '段位': '女流二段', '通算成績': '対局数339 / 125勝214敗 / 勝率0.369', '作成日時': '2024年9月3日'}"
